userName,score,at,content
Tetty A,1,2023-11-01 20:14:36,Sekarang beli pulsa pakai payletter udah gak bisa..bagusan gojak yg dulu..
Dail Pqn,5,2023-11-01 19:50:40,Mantap
cumi cumi,1,2023-11-01 19:25:49,ةرب
Ricky Kamelia,1,2023-11-01 19:25:14,Makin. Di update makin gak jelas males jelasinnya juga intinya banyak yang harus di tingkatkan
Khujen Khujen,1,2023-11-01 18:59:11,"Edan! Gopaylater tagihan 24*.*** Terlambat bayar 1 hari kena denda 50.000, ini keterlaluan,sekelas pinjol saja tidak sampai sebesar itu untuk denda keterlambatan,tapi ini melebihi pinjol!"
Gixxy 2411,5,2023-11-01 18:28:55,Baik cukuo membamtu
Sri Utami,5,2023-11-01 18:20:34,Semuanya memuaskan
Alion Yogi,4,2023-11-01 17:50:27,"Sangat membantu, tlong lebih di perbaiki apknya"
muslia fissamawati,1,2023-11-01 17:43:20,Knp kalo mau byr payleter jdi satu satu gini sih Udh gitu terlambat 1 hari denda 50rb Melebihi renternir
Irwan Maulana,1,2023-11-01 17:04:34,"Cicilan Hp, Gopaylater dan Gopay pinjam tidak pernah diACC ini..padahal akun sudah jadi..Anak Sultan...mana Gopay nihhhhhhh"
ikanovie novita,5,2023-11-01 17:01:57,Ok
Tono Toni,5,2023-11-01 16:51:14,"Sangat membantu,,terima kasih gojek😁"
Risang Adji Pamungkas,1,2023-11-01 16:48:51,"Kecewa si udah lama pake paylatter aman aman aja gapernah telat juga , masa tiba tiba abis update gagal terus gabisa dipake lagi atau gimana? Kasih kejelasan jangan cuma kami akan kembali beberapa saat tapi udah hampir 1 bulan Note baru lagi Ko ga bisa dipake lagi paylattwrnya , bagusan findaya daripada mab sekarang eror terus"
Hen Drow,1,2023-11-01 16:22:13,tidak wel
Laili Nur,1,2023-11-01 16:21:18,Akun gojek customer saya akan saya uninstall dan pakai layanan apk sebelah jika program goride nego akan benar² diterapkan ke driver. dan akan saya ajak beramai² teman² lainnya utk uninstall juga Kasihan mereka yg sudah berjuang dan tua renta. Coba saja jika tetap diberlakukan.!
Mawan Ajah,5,2023-11-01 16:08:23,Mantap
indra palembang,5,2023-11-01 16:02:30,Mantap
Zaim Patrick,1,2023-11-01 15:52:59,"Transfer dr saldo gopay ke BCA tgl 29/10-23 pukul 08.09 sampai tgl 1/11-23 belum masuk ke rekening..untung cma bbrp puluh ribu..dr kendala ini udh cukup buat kasih rating buruk buat apk ini.. Males lapor2, males adu argumen sm CS,. Paling yg muncul sbg balasan cuma permintaan maaf..BASI boss.."
Didi Lesmana,2,2023-11-01 15:42:01,"Tolong hilangkan menu gopay pinjam, saya risih lihat menu nya, menu tidak terpakai!!!! Harusnya ada fitur edit pilih menu jadi bisa di hidden."
Nanda Kurniyanto,5,2023-11-01 15:41:42,limit gopay pinjamnnya ga naik-naik y....??? Padahal biasa pinjam oh
Hasyim Yusuf,5,2023-11-01 15:41:17,Mohon diproses segera pinjaman kamioke. Wslm👍 🙏🙏
Marjak Sidabutar,5,2023-11-01 15:39:12,Bnyk promo dan driver nya jujur dan rapi
Agus Kaede,5,2023-11-01 15:36:16,Mantap gannnn
Bowo Doank,5,2023-11-01 15:32:15,Bagus
Nur Hotib,5,2023-11-01 15:28:03,"sebelum ny saya sangat puas,entah kenapa skr malah limit gopaylater saya tidak bisa di gunakan, padahal limit di naikin,malah di bekukan,dmn letak kesalahannya saya, sangat amat kecewa 😢 tidak jelas gopaylater ny, tolong di balas atau di respon"
betti nofia,4,2023-11-01 15:14:03,Sangat membantu di keadaan genting
Ari Suciani,5,2023-11-01 15:13:47,"Simple, good."
Nurhadi Cirebon,5,2023-11-01 15:05:23,Bermanfaat
darx Store,5,2023-11-01 15:02:06,Kapan d aktifkan akun saya???
Marwan marwan,5,2023-11-01 14:56:52,sangat membantu
Aidil Ezz,1,2023-11-01 14:50:52,Min kenapa si selalu nik tidak sesuai dengan dukcapil trus padahal saya pke KTP sndiri .coba lah d permudah biar bisa premium.
Zainal Abidin,5,2023-11-01 14:47:23,Mantappppppp
juntar panjaitan,3,2023-11-01 14:33:14,"Teruntuk order food. estimasi waktu buat apa woii, ini saya butuh cepat bukan malah menunggu, kan saya bayar bukan ngutang, asal lu tau resto gak akan buat makanannya sebelum driver tiba diresto. pihak resto gak akan buat makanannya dikarenakan mereka takut dgn kerugian yg akan datang. mohon dimengerti. terimakasih."
MONANGKIE FOTENZZA,5,2023-11-01 14:32:42,Bagus sekali saya suka
Yon All,5,2023-11-01 14:28:49,Sangat bagus
Retno Saputra,2,2023-11-01 14:26:56,knp waktu driver membatalkan pesanan saldo gopay terpotong disitu dibilang sudah refund dikirim ke gopay tabungan tp abuu abu ga bs dipakai
Muhammad Ihsan,2,2023-11-01 14:22:24,"Ini ya gojek aplikasi systemnya gak beres selalu crash sama lag, kadang juga nge-freeze... Masa udah 2 bulan lebih gini gini aja, gk ada perbaikan sama sekali.. Jdi kesel pindah ke GRAB aj"
Ikhsan Sandi,1,2023-11-01 14:19:46,"Mau komplain aja susah, bye gojek gue kecewa sama pelayanan customer servicenya."
Yumi cchin_,3,2023-11-01 14:16:55,Saya kalo mau ngomong sama customer service nya tuh kemana sih? Di IG lelet bgt penangananya..
Dedi Muezza,1,2023-11-01 14:16:18,Aplikasi nya parah udah hampir 4 hari masak mesen GOFOD gak bisa alrsan masalah gangguan jaringan.padahal make WiFi cepat Makin kesini makin parah ini gojek SANGAT KECEWA.... MESEN GOJEK JUGA SUSAH MALAHA JARINGAN PADAHAL DATA AMAN SUMPAH MAKIN PARAH.. BAKALAN PINDAH APLIKASI SEBELAH KLO GINI TERUS
Agustian Art,1,2023-11-01 14:01:55,Makin lama makin aneh jaringan bagus malah lag
Rini Amelia,5,2023-11-01 13:59:02,Mantap
ANDI MALIKA,5,2023-11-01 13:57:37,"cepat tepat waktu, driver ok, makasih gosend"
Mufid Mufid,5,2023-11-01 13:50:05,Mantap
Ikhsan Nur rohmat,1,2023-11-01 13:46:55,ngelaggg trosssss
boas Fianus,1,2023-11-01 13:41:19,Pesen gofood Nyari driver aja susahnya setengah mati.
Karyono Kapuk,5,2023-11-01 13:34:45,Ok
Agnes M,5,2023-11-01 13:27:30,Aku sih yes👍👍👍👍
Franciscus Ricky,1,2023-11-01 13:23:56,Aplikasi bahaya ada virus Trojan/ Malware kuda Troya nya dari google
Sukmono Navigator,5,2023-11-01 13:23:12,Transportasi aman dan lancar Mantap
franciscus ricky,1,2023-11-01 13:21:38,Aplikasi bahaya ada virus malware/ trojan kuda troya nya
Fidya Nasya,1,2023-11-01 13:20:26,"Masalah belum selesai tapi laporan sudah ditutup, mau ambil uang gopay sy kh?"
Herlina Oktavia,5,2023-11-01 13:16:02,"Kalo ada Go-Jek bisa ngampang pergi,TPI mahal,tolong turunin dikit apa hargany,soalnya udh mahal,aku kurang mampu,sumpahh!!!"
Muhammad Ikhsan,1,2023-11-01 13:15:15,"Mahal, sering ngelek"
Sopian Afandy,5,2023-11-01 13:14:59,Pnggunaan sangat mudah dan mngrti dan sangat membantu buat kbutuhan hidup.
Budiman,5,2023-11-01 13:12:11,Ok
Ramny Baharessa,5,2023-11-01 12:59:47,Kerenn
Rizal Syaban,5,2023-11-01 12:56:13,LEBIH BAIK DARIPADA VENDOR SEBELAH
CREATIVEart Designt,4,2023-11-01 12:53:14,Lumayan membantu buat transaksi tapi sayangnya sudah pake gopay lama udah sering pake transaksi juga tapi gopaylater nya ga di setujui
elzapta channel,1,2023-11-01 12:47:32,"Gopaylater sekarang membagongkan,telat sehari denda 50rb.ini namanya riba.nyesel saya sekarang pakai paylater.mending beli cash aja.saya tutup paylater gojeknya.bikin sengsara orang saja lama""!!"
Ima Alisya,1,2023-11-01 12:44:23,"Waktu estimasi untuk menunggu pesanan terlalu lama,,respon bantuannya juga lama,,pokoknya sekarang serba lama"
raka galinggis,5,2023-11-01 12:37:25,sayangat bermanfaat sekali.. pulang kerja jadi lebih cepat
Fendry Subang,5,2023-11-01 12:20:27,Keren
andre prayoga,3,2023-11-01 12:18:58,"sangat disayangkan tidak bisa pay latter pulsa lagi. padahal limit naik gara"" sering paylatter di pulsa"
Ali Mashari,5,2023-11-01 12:15:06,Oke
Z Nugraha Pramudya,4,2023-11-01 12:08:43,Good...
Didi Juhaedi,5,2023-11-01 11:54:15,Sangat membantu
fifinmela fransiska,5,2023-11-01 11:45:25,Sangat membantu
Hamzah Hamzah,5,2023-11-01 11:43:30,Amazing terbantu
Wawan Setiawan,5,2023-11-01 11:40:30,Sopan dan penuh tanggung jawab!
Ninik Elyasaa,3,2023-11-01 11:34:06,Inih kenapa stlh lunasin gopaylater malah gk bisa bertransaksi lagi pake paylater... Kyk shopee dongg stlh lunas sat set langsunv bs di pake lagi. Klo macet gini mending aku uninstall aja
Yana Nuryana,5,2023-11-01 11:26:03,Mantap
Hoirul Anam,5,2023-11-01 11:25:52,Mantap kali gan
Attalla Reynand,3,2023-11-01 11:22:23,"Fitur gosend nya tolong di permudah deh, menu ambil dah antar, ke balik Mulu dah dua kali. kalao pke Maxim paket & grabsend ga pernah aku salah2, kurang informatif di gosend ni"
Andika Jaya,1,2023-11-01 11:19:45,Gopay sial pembayarin QRIS gagal saldo ke potong blom balik juga saldo gw
Muhammad Habil,1,2023-11-01 11:15:04,"Gajelas banget ni lama-lama aplikasi, ngebug mulu kode promonya"
Agustya Pratama,1,2023-11-01 11:11:21,Idiooot kenapa sekarang gak bisa digunakan metode pembayaran paylaternya
Linda Sari,5,2023-11-01 10:58:37,Sangat membantuuuu
Angga Nugraha,5,2023-11-01 10:58:09,Membantu dalam segala hal.. thx u
Jefry Nisa,5,2023-11-01 10:57:24,Mantap👍👍👍
Niko eyl 03,3,2023-11-01 10:55:15,Tolonglah agar gopaylater bisa di bayar dikit²
GK bisa Bahasa Inggris,4,2023-11-01 10:43:43,"mau top up tapi pas scan QR selalu muncul , QR ini tak di kenal kirim lewat nomor hp nya aja , padahal kemaren bisa sekarang kaga"
Wahyu Lestari,1,2023-11-01 10:35:08,"Makin hari makin jelek aja performa aplikasi. + gopay paylater + gopay pinjam performa belum baik, bunga juga tinggi untuk cicilan."
Ibnu Hafizh,5,2023-11-01 10:30:33,Min saham goto turun well 🗿
Pradipta Radit,5,2023-11-01 10:19:32,Tidak pernah dikecewakan
Galih Kusuma,5,2023-11-01 10:10:06,Ga ribet kemana mana enak
Akhmadi Prabowo,5,2023-11-01 10:01:28,Membantu
timothy juantara,1,2023-11-01 09:58:10,"spam tanpa henti cuma buat promoin gopay pinjam,tolong bijaksana dalam menggunakan data pengguna sehari spam call dari gopay pinjam bisa sampe 20x padahal gada tuh yang minjam sepeser pun tolong dengan sangat hormat untuk tidak melakukan hal bodoh."
erizal zal,5,2023-11-01 09:54:43,"Sangat membantu,dan memuaskan"
Meso,1,2023-11-01 09:52:59,Semakin lama semakin mahal mohon diturunkan harganya
pri tanggul,3,2023-11-01 09:41:04,mbok kalau nelpon nawarkan gopaylater dan gopaypinjam itu kira2 bos kalau intensitas nelpon sudah sering bin ngawur itu namanya sudah mengganggu dan rawan penipuan
Zainal Abidin,5,2023-11-01 09:38:57,Sangat membantu sekali
Yudi Haryanto,5,2023-11-01 09:37:18,"Ok, membantu dlm perjalanana"
tino billy,5,2023-11-01 09:32:46,"Driver gojek sopan, terpercaya dan oke banget. Jadi Owner Gojek yg sekarang Mohon Perhatikan Penghasilan semua para Driver Gojek agar dinaikkan, di tingkatkan penghasilan Para Driver Gojek agar lebih sejahtera selalu. Salam satu aspal."
sadut cell,5,2023-11-01 09:25:07,Ok
Putra Gilang,5,2023-11-01 09:17:15,aplikasi ini sangat membantu untuk semua perjalanan dan kebutuhan sehari hari
novitri fauziah,2,2023-11-01 09:13:07,"pembayaran tidak pernah telat!setelah di upgrade malah paylater ga bisa dipake!alesan jaringan gangguan terus!! limit banyak ga bisa dipake , BUAT APA!"
Waroeng Setting LT (stempel harga agen),5,2023-11-01 09:04:50,"Bagian GOSEND nya terlalu lama, kenapa diubah? Yg awal lebih baik... Pesan langsung dapat, ini berapa jam? Dari jam 9.00 sekarang 12.30.... Pdahal dalam kota ..."
Benny Poerbantanoe,5,2023-11-01 09:04:40,"menyenangkan, familiar, tinggal satu dua saja yang perlu waktu utk bisa familiar dng pengguna."
Dimas Tirta,5,2023-11-01 09:00:52,Easy
saudah fitria,5,2023-11-01 08:50:49,👍😊
Rich Kaka,1,2023-11-01 08:42:38,Nongol gopay cicil gopaylater Gak ada yg acc. minjem aja belum pernah disini. percuma nongol klo gak acc lagian orang jg tw akun mana yg harus dibayar tepat waktu ama tidak. payah gojek
sang ayu,5,2023-11-01 08:37:49,Membantu disegala hal
Eko Hari,5,2023-11-01 08:32:36,Sip buat transaksi
Sumidi Sumidi,5,2023-11-01 08:32:07,"Good drver, thank a lot."
Adi Sumarmo,5,2023-11-01 08:30:59,"Kepada Yth, PT GOJEK INDONESIA Saya mohon tingkatkan kualitas orderan agar saya bisa dapat menyambung hidup sama ibu saya & membayar motor / membayar sewa kontrakan. Makasih"
fajar triyono,5,2023-11-01 08:04:32,"Okey,bermanfaat.."
Rizki Satria,5,2023-11-01 08:02:43,Asik dan nyaman
M Hasan,1,2023-11-01 08:01:07,Gila2 pakek payleter telat 1hari dendanya 50k karya anak Bangsa gaya lintah darat
cindy antika,5,2023-11-01 07:58:51,"Sangat membantu..tapi sayang kemaren2 terakhir transaksi mahal bgt.. Biasanya cuma 30k ini nyampe 90k padahal titik jemput dan tujuan sama.. Dongkol bgt,,terpaksa mahal juga soalnya bawa ortu pulang dari RS.. Serasa di rampok buat kita kaum sederhana,,soalnya 3x lipat ongkosnya🙄"
Tasya Vinola,1,2023-11-01 07:53:03,"Beberapa hari ini ngga bisa buka aplikasinya, cuma layar putih trus close. Padahal jaringan internetnya bagus"
Siboro Daniel,5,2023-11-01 07:51:26,mantap apknya suka eror saya suka
Wiwit GUSTIANI,3,2023-11-01 07:47:36,Makin lama gojek bermasalah terus
Aditya Nugrah Saputra,1,2023-11-01 07:36:19,paylater udah gak bisa beli pulsa ??? isi bensin shell gak bisa juga pake paylater dulu² masih bisa padahal bayar terus paylater gw gak pernah nunggak hadehh jek jek 😡
oky anggasaputra,2,2023-11-01 07:21:05,Saya sudah bayar tepat waktu tapi kenapa tidak bisa menggunakan kembali gopaylater mending versi yang dulu dibandingkan sekarang
Andre Wiryawan,1,2023-11-01 07:16:16,Dulu keseringan update jadi tambah lemot. Sekarang pesanngocar hemat dapat drivee jauh. Lama nungggunya.kasihan juga driveenya. Giliran pakai tanpa promo dapat driver dekat. Maksudnya apa pakai sistem ginian. Jaga service ?
Mochammad Ginanjar,1,2023-11-01 07:14:02,Aplikasi lemot! Driver lama responnya! Niat gak ini?? Karya anak bangsa kaya bgini??
Syifa Indriyani,2,2023-11-01 07:10:28,Kok susah di download sihhhh😢
Nur Yani,5,2023-11-01 07:09:06,Keren
Luluk Ainiyah,5,2023-11-01 07:00:40,Alhamdulillah bagus semoga bisa mempertahankan kualitasnya
Dejavu Sultan,1,2023-11-01 06:57:45,Tiba2 gopay otomatis ke tabungan jago tanpa persetujuan
Wulan 0625,1,2023-11-01 06:56:00,"Gojek knapa sih,, mo order g bisa ngirim barang g bisa dh nyoba di instal ulang, log out malah mo log in g bisa"
wulan sari,4,2023-11-01 06:45:06,"Maaf cm bs kasih bintang 4. Karena entah kenapa tiba2 gopaylater saya ga bs. Padahal biasa gunain buat pesan2 makanan, ampe ganti no pun ga bs juga. Padahal lilith kemaren sempet naik, eh malah jadi ditutup permanen. Mau aktifin lagi ga bs katanya 🤦‍♀️"
Aura Maya,5,2023-11-01 06:44:33,Top deh
Ekha Khurniyanti,1,2023-11-01 06:42:19,Kecewa bgt sm gogek.. Paylater gk bisa digunakan.. Pdhl brtahun2 make.. Gk prnh telat atau mslah pembayaran.. Slrg tb2 gk bisa dipakai.. Gilaaaa
dyahN37,2,2023-11-01 06:36:16,Biasa saja
lovennia arli,5,2023-11-01 06:33:29,Sangan membantu
Retno Asih Rakhmadani,4,2023-11-01 06:31:34,"lumayan lah tapi untuk voucher gofood kurang banyak, banyakin lagi dong min tapi tetep jaga kualitas ya👍"
susi susanti,1,2023-11-01 06:26:27,"Penipu jahanam,sebelum beli langganan voucher ku melimpah,giliran dibeli langganan voicher nya hilang,kalau gak niat ngasi voucher gak usah ngasi voucher kalian.babi"
Anugrah Cinta2,5,2023-11-01 06:25:12,Okeeeee
Hansen Jude,1,2023-11-01 06:23:44,Gopaylater limit 5jt tapi gak bisa di pakai sama Skali baik gojek gocar go food. Ampun ah. Status aktif
Dahlia Yataci,5,2023-11-01 06:18:18,membantu sekali aplikasi gojek ini
Sisilia Oktavia,4,2023-11-01 06:16:39,Banyakin promo gojek
AMD Ceuyah,5,2023-11-01 06:15:44,"min saya mau minta tolong,kenapa akun gojek saya gopaylater nya hilang di menu gojek nya setelah saya ganti nomor tapi data masih tetap data saya di situ ada cicilan saya setelah gopaylater hilang saya tidak bisa melihat rincian pembayaran saya"
Reza Fahmi,5,2023-11-01 06:06:05,Saya sebulan kemarin di kasih orderan sehari 1 kadang ga dapat orderan 1pun..dan saya sudah muter-muter ketempat yang ramai order....setiap pembaharuan aplikasi gopatner sya selalu update dan kenapa orderannya engga ada
REYNER,1,2023-11-01 05:53:09,"Gak bisa masuk ke aplikasi link login di kilik, masuk ke aplikasi tapi gak terjadi ap², Kode? Gak ada cuma link yabg pas di pencet masuk ke apk tapi gak ada respon B1"
Bagus Bagus,1,2023-11-01 05:51:59,Pesen makanan di gojek bisa sampe 2 jam.. ditengah perkotaan selalu tidak menemukan driver dan gak sekali dua kali... Beda dengan grab yang langsung dapat driver dan konfirmasi cepat.. (bukan karena gada driver ... Driver di depan resto segitu banyak masa gak dpat driver)
Yos Mada,5,2023-11-01 05:51:04,"Gojek banyak layanan nya sekarang, banyak kebutuhan pokok dan sekunder yang bisa di pesan di Gojek. Mantap dan maju terus Gojek. Kami suka produk Indonesia. Terima kasih Gojek, makin banyak Voucher utk pelanggan, 😁👍👍"
Siti Zulaikha,1,2023-11-01 05:41:00,"Enakan aplikasi gojek yg dulu, sekarang kenapa tidak ada pilihan bayar tunai tolong donk lebih permudah untuk orang orang"
Gusnur Haryati,5,2023-11-01 05:40:42,Oke
Trias Dekresna,4,2023-11-01 05:23:34,"Sudah Mendingan, tapi not respond + force close kalo dibuka terlalu lama"
Adi Solikhin,4,2023-11-01 05:19:22,Sangat bagus
Ami Ristiyani,5,2023-11-01 05:15:01,Banyak promo nya
Penghasilan Tambahan,1,2023-11-01 05:12:58,Gofood mahal nasi Padang kalo beli langsung cuma 10k kalo pake gojek jadi 20k gilaaa padahal Deket
mukti gaijin,5,2023-11-01 05:10:02,Ok bangettt dahh
bramdanal setiawan,5,2023-11-01 05:04:00,terima kasih
Steven Chen,3,2023-11-01 05:01:56,"Promo nya dikit di akun saya, ga semantap app ijo dari malaysia."
Novita Sartika putri,5,2023-11-01 04:51:11,Mantul
Meta Julian,2,2023-11-01 04:49:23,Makin di update makin ga berguna gitu.
Norol Yakin,5,2023-11-01 04:48:43,"Beh ajib bener dah, gercep bet abang abng nya, fast respon, suka bet ama aplikasi ini"
Rizki Faturrahman,5,2023-11-01 04:48:26,bagus.
Annisa Fathiarti,1,2023-11-01 04:47:08,Bikin susah kalo mau bayar pakai gopay
Ka Pe,2,2023-11-01 04:36:21,app sering force close.. atasan kalian kebanyakan makan uang untung tapi gak mau berbenah
ami-kun 96,3,2023-11-01 04:30:25,"Cukup bagus, lebih bagus lagi kalau notifnya jelas, misal disuruh nunggu voba ulang masukkin pin.. kaish tau aja nunggu 60mnt kn' cmn bilang tunggu sebentar? Sebentar itu kan relatif.. ada orng sebentarnya 1 mnt ada yg 5 mnt, 15 mnt.. ada yg merasa 15 mnt itu lama -_-"
Aas Ahmad Hulasoh,5,2023-11-01 04:26:49,Sangat membantu
Segempang F,5,2023-11-01 04:21:37,Asropktavianus ya suka mendukungmu setiap waktu semoga Risqinya lancar fana batallah menjadi berlimpah ganda Amin ýaRabball Allamin doa ini semoga menjadi kenyamanan
Wintari,5,2023-11-01 04:17:08,Mantap aplikasi ya
Brendaputri,5,2023-11-01 04:10:41,Good job penanganan nya tentang semua kendala yg saya alami dan tidak sampai 1 jam mereka bisa langsung tangani
Annisa 0104,1,2023-11-01 04:07:39,"skrg males pke gojek, sering bngt klo pke cash, gk di kasih kembalian, dengan alasan ""gk ada kembaliannya"""
Imam Setiono,5,2023-11-01 04:03:14,Aplikasinya mantap
Isma Maulana,5,2023-11-01 03:52:55,"Aplikasinya bagus, banyak fitur nya"
Darno “Daud Teknik”,5,2023-11-01 03:49:37,Mantap
Rezsa Restian,1,2023-11-01 03:48:25,Aplikasi makin kaga jelas kaga mikir2 klo ngluarin kebijakan
alyanrl Jannah,5,2023-11-01 03:46:16,sangat membantu
Aries Palangan,5,2023-11-01 03:40:29,Layanan sangat ramah fan bersahabat
Mohamad Holil,1,2023-11-01 03:33:28,"Nyesel banget tranfer via apk gopay, PENDING !! mana harus nunggu 2/3hari, kalau duitmya lagi dibutuhin darurat gimana?..."
Dimi Putribasori,1,2023-11-01 03:33:05,Tagihan paylater selalu bayar tepat waktu.. Kenapa hari ini habis dibayar. Tapi paylater gk bisa dipake?????
Hikma Fitria,5,2023-11-01 03:32:58,Tetep gojek sih walau banyak pesaingnya 🤗 thax gojek
rizky Soepian,2,2023-11-01 03:26:15,"Tolong hapus fitur tabungan gopay by jago, udh berkali kali nonaktifin tetep aja masih nyambung dan duit saya ga tau kemana tiba tiba ilang"
Ial Fahri,5,2023-11-01 03:26:06,Sangat membantu
Nhajam Astaman,1,2023-11-01 03:17:23,"Terlalu ribet, cara pemesanannya, ga bisa cepet."
Hendry Darmawan Arianto,1,2023-11-01 03:01:15,Masalah belom terselesaikan udah main tutup laporan aja
Gustia Warman,5,2023-11-01 02:58:46,mantab
Sandi Syarif,5,2023-11-01 02:48:23,Cakepp
Faris Hidayat,5,2023-11-01 02:47:56,Mudah dan praktis
Hamba Allah,1,2023-11-01 02:44:24,"Sudah berulang kali instal unistall tetap tidak bisa dibuka, blank, close dengan sendirinya, cache jg sdh dibersihkan, solusinya bagaimana?????"
FAHMI NUGRAHA,5,2023-11-01 02:24:16,Good Apps 👍
Soegeng Santoso,1,2023-11-01 02:12:44,"upgrade paylater malah limit turun,sekarang malah g bisa d pakai,padahal tdk pernah telat,mending d hapus aja paylaternya.trus status juragan juga g ada pengaruhnya👎"
Okta Fiani,5,2023-11-01 02:10:11,Mempermudah.. walau kadang² harga nya mahal kadang² murahh wkwkwk
Yana Dwi Santana,1,2023-11-01 02:08:27,"itu aplikasi gopay pinjam yang berafiliasi dengan gojek neror ga jelas baru 3 hari telat bayar penagihan macam ga bayar 2 taun """"Jangan karena sikap anda yg sengaja tunda bayar diaplikasi gopaypinjam data anda masuk kedalam nasabah bermasalah yang akan diproses tindak lanjut penagihan, bisa pasti bayar jam berapa hari ini ?"""" harusnya dicabut saja tidak usah ada gopaypinjam. nyusahin orang lg butuh uang, bunga selangit, gimana mau tumbuh perekonomian indonesia kalau nyari dana buat kuliah sush"
Baby Lozer,1,2023-11-01 02:05:02,"Beli token listrik saldo nya udah di ambil,tapi token nya kok gak dapat aku"
Frenki Sh,5,2023-11-01 02:03:03,Akurat
Heru Wicaksono,1,2023-11-01 01:59:20,Udah ada wacana tarif tawar menawar makin sadis!!
Rama Fitrah,5,2023-11-01 01:51:41,mantap
Sugiarto 4RAY,5,2023-11-01 01:44:41,Aman
Muhammad Kanda Wirguna,1,2023-11-01 01:38:13,"Ga ada bagusnya gojek ini, bnyk bug.. Komplain dr konsumen pn yg balas boot.. Banyak update tp malah tambah lemot, bug dmn2.."
Dika Sikumbang,1,2023-11-01 01:35:06,"Tadinya ngasih bintang 5, sekarang jadi bintang satu engga engga lagi deh pake apalagi pake paylatternya Cerewet udah gitu belum kelewat tanggal aja udah kayak kebakaran jenggot Ngacemnya bakal blokir, gue udah lama pake Gojek tapi Gojek sekarang norak Belum jatuh tempo aja udah begitu apalagi lewat tanggal Langsung gue bayar, karena gue emang sengaja bayar di tanggal kesepakatan Begitu dibayar notif ga ada aplikasi malah eror tapi saldo ketarik"
Anisa Yuniar,5,2023-11-01 01:34:45,Tolong banyakin lagi promonya. Tks
Suhendarr 28,1,2023-11-01 01:33:16,Mau beli pulsa nungguin kode otp gak datang datang bikin kesel aja
raja siregar,5,2023-11-01 01:32:06,Sering2 ksh discount harga
Umi Rida,5,2023-11-01 01:29:01,Baik
Toi Oi,4,2023-11-01 01:17:14,Trima kasih tepat waktu
M_2PPE,1,2023-11-01 01:15:20,Tidak bijak dalam menangani masalah!
Bambang Sutrisno,5,2023-11-01 01:09:07,Sangat membantu
Yulivia Lusiana,1,2023-11-01 00:59:19,"Saya kena tipu kurir gojek,saya beli nge gosend in HP,, tapi HP dibawa kabur kurir nya,, tapi pihak gojek ga ngerespon sama sekali,, dan gamau bertanggung jawab.."
EAdriani Pky,5,2023-11-01 00:57:12,Driver ramah dan sesuai penjemputan
Lisdiana 249,2,2023-11-01 00:56:32,"Hallo saya penguna Gojek Dari tahn 2019 Saya merasa puas walau agak mahal ,Tapi Knpa Skrng ada prubhn yg mnurut saya kurng membantu,Tadinya Gopaylater bisa untk semua TRX,Tapi Knpa Stlh Saya byr Smlm fiturnya Brubah Gk bisa Beli pulsa pakek gopaylater Lagi,Saya Mengunakn Gopay later dri Tahn sblumnya,Dan saya Gk pernh Telat Sama skli,Tolong balikin Lagi gopay later seprti dulu yg bisa semua Trx"
Romanisti Indonesia,5,2023-11-01 00:44:56,Good
Elinda Siregar,5,2023-11-01 00:40:45,Gojek ini bikin sy lebih peraktis kalau mau buru² & kita gak kecewa
Sah Roni,1,2023-11-01 00:33:55,"Gopay later gak jelas ,saya bayar tagihan gopay later lunas semua ,ehh kedepannya malah ga bisa di gunakan limit nya dengan alasan tidak memenuhi kriteria, kalau gak memenuhi kriteria kenapa di kasih limit aneh? Di email jawabannnya gak jelas"
Heru Mulyanto,5,2023-11-01 00:32:20,Servis bagus..lanjutkan
Maria Melisa,5,2023-11-01 00:28:42,Sngt puas
Botok Ganteng,5,2023-11-01 00:27:33,Ok.bagus
Moh Ijan Ahmad,1,2023-11-01 00:15:37,G bisaa masuk akun
Hevy Sarah,3,2023-11-01 00:15:30,Knp skrg gabisa beli pulsa pakai paylater.. Pdhl itu sangat berguna buat sy beli pulsa/paket data Klo udh di balikin sy kasi b5 lagi
Arfha Alrianda harahap,1,2023-11-01 00:08:09,"ongkir nya mahal banget awal nya kemaren saya mau mesen makanan, yang harga makanannya cuma 18K pas mau chek out malah 31K harganya jadinya, masa ongkir nya 13K padahal deket tempatnya, lebih bagus pake shopee food, ongkir nya murah, diskon nya juga banyak, saya udah kecewa banget sama gofood yang sekarang 👎"
AK. Beng,4,2023-10-31 23:59:20,Bagus sayang gak terlalu terbiasa untuk pake aplikasi gojek ini
Mangkutimang,5,2023-10-31 23:58:52,Menyenangkan
Mariyam Najwa,5,2023-10-31 23:58:49,Mudah dan praktis
Dadi Heksa,5,2023-10-31 23:57:48,Mantaap
Adinda Madya,5,2023-10-31 23:46:20,seneng banget pakai gojek karna apa2 dan mau kmna2 gak harus minta anterin ortu/tetangga lagi
Lintang Pangestu,1,2023-10-31 23:45:57,Anjinggggggg gua lagi buru ² malah gangguan
Vinna Cute,3,2023-10-31 23:43:42,Gmn mau bayar.. Setiap di klik unable to proses trs.. Apa gak mau di bayar atau gmn gojek ini??? Klo gk dibayar di denda.. Gmn sih
